"Date","Category","L","S","A","Real.estate","Private.businesses","Liabilities","C","Fixed.income","Mkt_RF","dlnL","dlnL_lag","shock_loc_raw","shock_loc","shock_glo_raw","shock_glo"
2019-07-01,"Top1",14306909,0.431699184470486,33140922,4208983,6311756,840745,2861020,4734224,0.000395807534999904,-0.00535048120386961,0.0323324361878043,-0.00542512480828293,-0.203725489326907,-0.029529569540426,-0.316065815261723
2019-10-01,"Top1",15224886,0.444757466460216,34231884,4171006,6325643,855441,3022824,4573594,0.0895686601929999,0.0621887584420513,-0.00535048120386961,-0.0325920721397747,-1.22390471731008,0.0390397836801698,0.417857125875875
2020-01-01,"Top1",11579083,0.373732714178957,30982257,4271737,6409995,870798,3335966,4498205,-0.205178716205,-0.273731045129516,0.0621887584420513,-0.0527061355954929,-1.97923248665694,-0.298726296464396,-3.19737713422735
2020-04-01,"Top1",13989843,0.413470169949969,33835193,4308592,6453370,875911,3683723,4174503,0.2286574424,0.189131285559093,-0.273731045129516,-0.0431904053548346,-1.62189567541508,0.173318856935748,1.8550953051528
2020-07-01,"Top1",15206918,0.429439372869983,35411094,4437778,6654124,889940,3686314,3945668,0.0974849544559999,0.083418889577441,0.189131285559093,-0.0293761796442293,-1.10314080948672,0.0549534923664435,0.588187387645485
2020-10-01,"Top1",17674153,0.45885742944862,38517744,4552154,6837555,907119,3842234,3940972,0.15209181152,0.150352833952102,0.083418889577441,-0.0164246166011903,-0.616780843267528,0.124777228234163,1.33553644640632
2021-01-01,"Top1",19089638,0.472149852569711,40431312,4752164,7007050,919948,4121603,3399658,0.059845548428,0.0770423849077844,0.150352833952102,0.00687784654129264,0.25827841785334,0.0496370491827391,0.531283545994499
2021-04-01,"Top1",20639798,0.480838726999627,42924575,5117411,7427577,945660,4137687,3320282,0.0814910688999999,0.0780754789936644,0.0770423849077844,-0.0119618684938585,-0.449194737133934,0.0526741836655219,0.563791110490015
2021-07-01,"Top1",20803918,0.474187085275558,43872806,5316437,7860776,966140,4155764,3399246,-0.00270657423999987,0.0079201806095881,0.0780754789936644,0.00898275331282369,0.337322343508832,-0.0175093557443413,-0.187409057570804
2021-10-01,"Top1",21763951,0.480199016066382,45322773,5377434,8110094,994025,4340961,3081964,0.0833497744579999,0.0451136428434182,0.0079201806095881,-0.0435792300348683,-1.63649690598609,0.0216018965705926,0.231213023320125
2022-01-01,"Top1",20594208,0.459034371194348,44864196,5724378,8335244,1013764,4414586,3181420,-0.0547517820160001,-0.0552451059840884,0.0451136428434182,0.00376086648518414,0.141228891880518,-0.0797735859120607,-0.853845953735594
2022-04-01,"Top1",16875109,0.404490905880716,41719378,5979738,8696686,1031869,4398461,3336548,-0.17301693496,-0.199170175215691,-0.0552451059840884,-0.00726000684751843,-0.272629386381898,-0.220955212845126,-2.36496469711881
2022-07-01,"Top1",15911972,0.391189988665501,40675816,5764273,8671549,1046922,4369225,3704806,-0.0440881130740001,-0.0587679141251023,-0.199170175215691,0.000556580556766618,0.0209008364386385,-0.0766185650930563,-0.8200766085387
2022-10-01,"Top1",16769113,0.403782226150619,41530092,5644494,8441056,1051810,4336667,4353492,0.05664236405,0.0524669004952223,-0.0587679141251023,-0.0040747975029842,-0.153017699046496,0.0307781635966811,0.329429975473438
